
Selok,slwfo2,سلوق
Selva,slwy,سلوی
Selvet,slwbo2,سلوت
Selvi,slwy,سلوی
Selvican,slwyxu1ebo1,سلویجان
Selvihan,slwyxo1ebo1,سلویخان
Selvinaz,slwybo1ero1,سلویناز
Selâh,slex,سلاح
Selâhattin,zlex eldybo1,صلاح الدین
Selâhi,slexy,سلاحی
Selâm,slem,سلام
Selâmet,slembo2,سلامت
Selâmettin,slem eldybo1,سلام الدین
Selâmi,slemy,سلامی
Selâmullah,slem ellh,سلام الله
Selâtin,sletybo1,سلاطین
Selçuk,slxu3wfo2,سلچوق
Selçuker,slxu3wfo2 eo5r,سلچوق أر
Selçukkan,slxu3wfo2fo2ebo1,سلچوققان
Selışık,sl eyso3yfo2,سل ایشیق
Selışıl,sl eyso3yl,سل ایشیل
Selışın,sl eyso3ybo1,سل ایشین
Sema,sme,سما
Semagül,smeko7l,سماگل
Semahat,smexbo2,سماحت
Semai,smeay,سماعی
Semai,smebo5y,سمائی
Semanur,smebo1wr,سمانور
Semavi,smewy,سماوی
Semen,smbo1,سمن
Semender,smbo1dr,سمندر
Semih,smyx,سمیح
Semiha,smyxh,سمیحه
Semin,smybo1,سمین
Semine,smybo1h,سمینه
Semir,smyr,سمیر
Semiramis,smyrh mys,سمیره میس
Semiray,smyreo6y,سمیرآی
Semire,smyrh,سمیره
Semiye,smyh,سمیه
Semra,smre,سمرا
Semuh,smwxo1,سموخ
Sena,bo3bo1e,ثنا
Senai,bo3bo1ebo5y,ثنائی
Senal,sbo1el,سنال
Senar,sbo1er,سنار
Senay,sbo1ey,سنای
Sencan,sbo1xu1ebo1,سنجان
Sencer,sbo1xu1r,سنجر
Senem,sbo1m,سنم
Senem,zbo1m,صنم
Senemoğlu,sbo1m ewao1ly,سنم اوغلی
Senemoğlu,zbo1m ewao1ly,صنم اوغلی
Sener,sbo1r,سنر
Senger,sbo1ko7r,سنگر
Sengül,sbo1ko7l,سنگل
Sengün,sbo1ko7wbo1,سنگون
Senih,sbo1yxo1,سنیخ
Seniha,sbo1yxh,سنیحه
Seniye,sbo1yh,سنیه
Sennur,sbo1bo1wr,سننور
Senol,sbo1wl,سنول
Senî,sbo1y,سنی
Septioğlu,sbu1ady ewao1ly,سبعدی اوغلی
Septioğlu,sbu3bo2y ewao1ly,سپتی اوغلی
Sera,bo3re,ثرا
Sera,sre,سرا
Serad,sred,سراد
Seralp,sreo6lbu3,سرآلپ
Seran,srebo1,سران
Serap,srebu3,سراپ
Seray,srey,سرای
Serazat,srero1ebo2,سرازات
Serbay,srbu1ey,سربای
Serbest,srbu1sbo2,سربست
Serbülent,srbu1lbo1d,سربلند
Sercan,srxu1ebo1,سرجان
Sercihan,srxu1yhebo1,سرجیهان
Serdal,srdel,سردال
Serdar,srder,سردار
Serdarhan,srderxo1ebo1,سردارخان
Serdaroğlu,srder,سردار
Serdengeçti,srdbo1ko7xu3bo2y,سردنگچتی
Serdengeçti,srdbo1ko7xu3dy,سردنگچدی
Serdil,srdl,سردل
Serdinç,srdybo1xu3,سردینچ
Seren,srbo1,سرن
Serener,srbo1 eo5r,سرن أر
Serengül,srbo1ko7l,سرنگل
Serfiraz,srfo1yrero1,سرفیراز
Sergen,srko7bo1,سرگن
Sergin,srko7ybo1,سرگین
Sergül,srko7l,سرگل
Sergün,srko7wbo1,سرگون
Serhan,srxo1ebo1,سرخان
Serhas,srxo1ez,سرخاص
Serhat,srxo1d,سرخد
Serhenk,srhbo1k,سرهنک
Serhun,srxo1wbo1,سرخون
Serik,srbu2k,سريک
Serim,srym,سریم
Serimer,srym eo5r,سریم أر
Serin,srybo1,سرین
Serindağ,srybo1deao1,سرینداغ
Serindağ,srybo1teao1,سرینطاغ
Seringül,srybo1ko7l,سرینگل
Serkan,srfo2ebo1,سرقان
Serkut,srfo2wbo2,سرقوت
Serma,srme,سرما
Sermelek,srmlk,سرملک
Sermet,srmd,سرمد
Sermin,srmybo1,سرمین
Sernaz,srbo1ero1,سرناز
Sernevaz,srbo1wero1,سرنواز
Sernur,srbo1wr,سرنور
Serol,srwl,سرول
Serpil,srbu3yl,سرپیل
Serpin,srbu3ybo1,سرپین
Serra,sre,سرا
Sert,srbo2,سرت
