Abayhan,آبایخان
Çakıroğulları,چاقیر اوغوللری
Çakmakkaya,چاقمققایا
Çakmaklı,چاقمقلی
Çakmak,چاقمق
Çakmakoğlu,چاقمق اوغلی
Çakmur,چاقمور
Çalgüner,چالگونر
Çalık,چالیق
Çalıkoğlu,چالیق اوغلی
Çalın,چالین
Çalışkan,چالیشقان
Çalışlar,چالیشلر
Çalış,چالیش
Çallı,چاللی
Çaloğlu,چال اوغلی
Çamaş,چاماش
Çambel,چامبل
Çamlıbel,چاملی بل
Çam,چام
Çamoğlu,چام اوغلی
Çamuroğlu,چامور اوغلی
Çanakçı,چناقچی
Canalioğlu,جان علی اوغلی
Canan,جانان
Canatan,جاناتان
Canbay,جانبای
Canbolat,جانبولاد
Canbulat,جانبولاد
Candaner,جاندان أر
Candan,جاندان
Çandar,چاندار
Çaneri,چانری
Caner,جانر
Çanga,چانغه
Canikli,جانكلی
Canıtez,جانی تز
Çankaya,چانقایا
Cankurtaran,جان قورتاران
Can,جان
Çantay,چانتای
Cantekin,جانتكین
Canuyar,جانویار
Canver,جانور
Canver,جانویر
Çaparoğlu,چاپار اوغلی
Çapoğlu,چاپ اوغلی
Çarıkçı,چاریقجی
Çarıklı,چاریقلی
Carım,جاریم
Cartı,جاردی
Çataloğlu,چاتال اوغلی
Çatlı,چاتلی
Çavdarlı,چاودارلی
Çavdaroğlu,چاودار اوغلی
Cavit,جاود
Cavus,جاوس
Çavuşoğlu,چاوش اوغلی
Çaycı,چایجی
Çayırlıoğlu,چایرلی اوغلی
Çay,چای
Cebeci,جبه جی
Cebe,جبه
Cebesoy,جبه صوی
Çebi,چبی
CelAl,جلال
Celayır,جلایر
Çelebican,چلبی جان
Çelebi,چلبی
Çelebioğlu,چلبی اوغلی
Çelen,چلن
Çelikalay,چلیك آی
Çelikbaş,چلیك باش
Çeliker,چلیكر
Çelikkale,چلیك قاله
Çelikkan,چلیك قان
Çelikkol,چلیك قول
Çelik,چلیك
Çeliköz,چلیك اوز
Çeliktuğ,چلیك توغ
Çelim,چلیم
Çeltekli,چلتكلی
Çeltikçioğlu,چلتكجی اوغلی
Cemalcılar,جمالجیلر
Cem,جم
Cenani,جنانی
Çengel,چنگل
Cengil,جنگیل
Cengiz,جنگیز
Cenkçiler,جنكچیلر
Ceran,جران
Çerçel,چرچل
Cerci,جرجی
Çerçi,چرجی
Çerçioğlu,چرجی اوغلی
Ceren,جرن
Çerezci,چرزجی
Cerit,جرئیت
Ceritoğlu,جرئیت اوغلی
Cerrahoğlu,جراح اوغلی
Cesur,جسور
Çetiner,چتینر
Çetinkaya,چتینقایا
Çetin,چتین
Çetintaş,چتینطاش
Cevahir,جواهر
Cevdet,جودت
Cevheri,جوهری
Çevikçe,چویكچه
Çevik,چویك
Ceyhun,جیخون
Ceylan,جیلان
Çeyrekbaşı,چیرك باشی
Cezaroğlu,جزار اوغلی
Çiçekdağ,چیچك داغ
Çiçek,چیچك
Çiftçi,چیفتجی
Çığlık,چیغلیق
Çığman,چیغمان
Çilesiz,چله سز
Çilingir,چلینگیر
Çilingiroğlu,چلینگیر اوغلی
Çiller,چیللر
Cilli,جیللی
Çiloğlu,چیل اوغلی
Çilsal,چیلسال
Cimcoz,جیمجوز
Çimen,چیمن
Çim,چیم
Çınar,چنار
Çınaroğlu,چنار اوغلی
Çinay,چینای
Cindoruk,جندوروق
Cinel,جنل
Çiner,چینر
Cinisli,جینیسلی
Cin,جن
Çintan,چینتان
Çıracıoğlu,چیراجی اوغلی
Çırakoğlu,چیراق اوغلی
Çıray,چیرای
Ciritlioğlu,جیریتلی اوغلی
Çirkin,چیركین
Çırpan,چرپان
Çıtakoğlu,چیتاق اوغلی
Çitil,چیتیل
Çıtırık,چیتیریق
Çiyiltepe,چییلتپه
Cizreli,جزره لی
Çobaner,چوبان أر
Çobanlı,چوبانلی
Çoban,چوبان
Çobanoğlu,چوبان اوغلی
Çolak,چولاق
Çolakoğlu,چولاق اوغلی
Çoldurzade,چولدورزاده
Çölgeçen,چول گچن
Çöllü,چوللو
Çöl,چول
Cömert,جومرد
Çonkar,چونقار
Conker,جونق أر
Çonoğlu,چون اوغلی
Cop,جوپ
Çopuroğlu,چوپور اوغلی
Çorakçı,چوراقجی
Çorapçıoğlu,چورابجی اوغلی
Çorlu,چورلو
Çoruh,چوروخ
Çoruk,چوروق
Coşar,جوشار
Çoşkan,جوشقان
Coşkuner,جوشقون أر
Coşkun,جوشقون
Coşkunoğlu,جوشقون اوغلی
Coşkunyürek,جوشقون یورك
Çöteli,چوته لی
Çubukcu,چوبوقجی
Çubukçu,چوبوقجی
Çubuk,چوبوق
Cüceoğlu,جوجه اوغلی
Çuhadar,چوخه دار
Çukurova,چوقور اووه
Çulha,چولها
Çulhaoğlu,چولها اوغلی
Cumali,جمعه لی
Cumalıoğlu,جمعه لی اوغلی
Çümen,چومن
Çumralı,چومرالی
Cumur,جومور
Cura,جورا
Çürük,چوروك
Daçe,داچه
Dağcı,داغجی
Dağcı,طاغجی
Dağcıoğlu,داغجی اوغلی
Dağcıoğlu,طاغجی اوغلی
Dağdaş,داغداش
Dağdelen,داغدلن
Dağdelen,طاغدلن
Dağdemir,داغدمیر
Dağdemir,طاغدمیر
Dağı,داغی
Dağıstanlı,طاغستانلی
Dağlarca,طاغلرجه
Dağlı,داغلی
Dağlıoğlu,طاغلی اوغلی
Dağ,داغ
Dağ,طاغ
Dağoğlu,داغ اوغلی
Dağtekin,داغتكین
Dağyar,داغیار
Dai,داعی
Dalaman,دالامان
Dalan,دالان
Dalar,دالار
Dalbudak,دالبوداق
Daldal,دالدال
Dalkılıç,دالقیلیچ
Dalkıran,دالقیران
Dallı,داللی
Dalman,دالمان
Dal,دال
Dalyan,دالیان
Damalı,دامالی
Darendelioğlu,دارنده لی اوغلی
Darman,دارمان
Daşöz,داشوز
Daver,داور
Davran,داوران
Davutoğlu,داود اوغلی
Dayanıklı,طایانقلی
Dayıbaş,داییباش
Dayı,دایی
Dayıoğlu,دایی اوغلی
Day,دای
Dedegil,دده گیل
Dedekargınoğlu,دده قارغین اوغلی
Dedelek,دده لك
Dede,دده
Dedeoğlu,دده اوغلی
Değerli,دگرلی
Değer,دگر
Değirmendereli,دگیرمن دره لی
Deliceoğlu,دلیجه اوغلی
Delikaya,دلیقایا
Deliktaş,دلیكطاش
Delilbaşı,دلیلباشی
Dellaloğlu,دلال اوغلی
Demirağ,دمیراغ
Demiralay,دمیرآلای
Demiralp,دمیرآلپ
Demiray,دمیرآی
Demirbağ,دمیرباغ
Demirbaş,دمیرباش
Demirbilek,دمیربیلك
Demirçalı,دمیرچالی
Demircan,دمیرجان
Demirci,دمیرجی
Demirelli,دمیراللی
Demirel,دمیرأل
Demirer,دمیرأر
Demirezen,دمیر ازن
Demirhan,دمیرخان
Demirkan,دمیرقان
Demirkıran,دمیرقیران
Demirkol,دمیرقول
Demirman,دمیرمان
Demir,دمیر
Demirören,دمیر اورن
Demiröz,دمیر اوز
Demirsoy,دمیرصوی
Demirtaş,دمیرطاش
Denek,دنك
Denemeç,دنمه چ
Dengin,دنگین
Dengiz,دنگیز
Denizkurdu,دڭزقوردی
Denizli,دڭزلی
Denizmen,دڭزمن
Deniz,دڭز
Denizolgun,دڭزاولغون
Denkel,دنكل
Denker,دنكر
Denktaş,دنكطاش
Denli,دنلی
Derbil,دربیل
Dereli,دره لی
Dere,دره
Derinçay,درینچای
Derin,درین
Dermancı,درمانجی
Derviş,درویش
Destecioğlu,دسته جی اوغلی
Devecioğlu,دوه جی اوغلی
Develi,دوه لی
Develioğlu,دوه لی اوغلی
Devrim,دوریم
Devrin,دورین
Dibek,دیبك
Dıblan,دیبلان
Dicleli,دجله لی
Dicle,دجله
Diken,دیكن
Diker,دیكر
Dikici,دیكیجی
Dikmenli,دیكمنلی
Dikmen,دیكمن
Dilaver,دلاور
Dilaveroğlu,دلاور اوغلی
Dilekcan,دیلكجان
Dilekci,دیلكجی
Dilek,دیلك
Dilemre,دل أمره
Diler,دیلر
Dilligil,دیللیگیل
Dilmen,دیلمن
Dimeroğlu,دیمراوغلی
Dinçay,دینچای
Dinçerler,دینچرلر
Dinçer,دینچر
Dinç,دینچ
Dinçsoy,دینچصوی
Dindar,دیندار
Dinek,دینه ك
Dink,دینك
Diplan,دیپلان
Diren,دیرن
Dirik,دیریك
Diri,دیری
Dişli,دیشلی
Diyadin,دیادین
Dizdar,دزدار
Dizdaroğlu,دزداراوغلی
Dizman,دزمان
Dodurgalı,طودرغه لی
Doğanay,طوغانای
Doğançay,طوغانچای
Doğanlar,طوغانلر
Doğan,طوغان
Döğerli,دوگرلی
Doğruer,طوغری أر
Doğrul,طوغرول
Doğru,طوغری
Doğruyol,طوغری یول
Doğuışıker,طوغی ایشیق أر
Doğu,طوغی
Doğuşlu,طوغوشلی
Doğuyıldızı,طوغی ییلدیزی
Dökülmez,دوكولمز
Dokuman,طوقومان
Dölek,دولك
Dolunay,طولونای
Dolun,طولون
Domaç,دوماچ
Dönen,دونن
Dora,دورا
Doras,دوراس
Dorman,دورمان
Dörtkol,درت قول
Doruk,طوروق
Döşemeci,دوشه مه جی
Draman,درامان
Draman,درامه ڭ
Dudu,دودو
Duduoğlu,دودو اوغلی
Dülge,دولگه
Dülger,دولگر
Dumankaya,دومانقایا
Dumlu,طوملی
Dumrul,دومرول
Dündar,دوندار
Durakbaşa,طوراقباشا
Durak,طوراق
Durakoğlu,طوراق اوغلی
Duralı,طورالی
Duran,طوران
Dura,طوره
Durgun,طورغون
Durhan,طورخان
Durmaz,طورماز
Durmuş,طورمش
Dursunoğlu,طورسون اوغلی
Durudoğan,طورو طوغان
Durukan,طوروقان
Durul,طورول
Duru,طورو
Durutürk,طوروتورك
Düşünsel,دوشونسل
Duyan,دویان
Duyar,دویار
Duyduk,دویدق
Duygun,طویغون
Düzgören,دوزگورن
Düzgün,دوزگون
Düz,دوز
Ebrişimoğlu,ابرشیم اوغلی
Ebüzziya,ابو الضیا
Ecer,أجر
Ecevit,اجوید
Edes,أدس
Edgüer,ادگو أر
Edibali,ادیب علی
Edibali,اده بالی
Ediboğlu,ادیب اوغلی
Ediz,ادیز
Efendi,أفندی
Efeoğlu,افه اوغلی
Eğel,أگل
Egemen,اگه من
Ege,اگه
Eğilli,اگیللی
Eğilmez,اگیلمز
Eken,أكن
Eker,أكر
Ekici,أكیجی
Ekinci,اكینجی
Ekin,اكین
Ekmen,اكمن
Ekmen,اكمه ڭ
Ekren,أكرن
Ekşi,أكشی
Elçi,ایلچی
Eldem,ألده م
Eldeniz,ألدڭز
Elekdağ,ألكداغ
Eler,ألر
Elgün,الگون
Elitaş,الی طاش
Elkatmış,أل قاتمش
Elli,اللی
Elmalılı,ألمالیلی
Elmas,الماس
Elvan,الوان
Elverdi,أل وردی
Emeç,أمچ
Emed,أمد
Emekli,أمكلی
Emek,أمك
Eminağaoğlu,أمین آغا اوغلی
Emin,أمین
Emirmahmutoğlu,أمرمحموداوغلی
Emir,أمر
Emiroğlu,أمراوغلی
Emmioğlu,عمی اوغلی
Emrem,أمره م
Enç,أنچ
Endik,أڭدك
Enerem,انرم
Ener,انر
Engineri,انگینری
Enginün,انگینڭ
Enginün,انگین اوڭ
Enginyurt,انگین یورد
Engiz,انگیز
Enöz,أڭوز
Enöz,أنوز
Ensari,أنصاری
Ensarioğlu,أنصاری اوغلی
Enüstün,أڭ أوستون
Enüstün,أنوستون
Enver,أنور
Epikmen,أپیكمن
Eralp,ارآلپ
Erarıcı,ارآریجی
Erataman,ار آتامان
Erat,أرات
Eraydın,ارآیدین
Erbakan,أرباقان
Erbaş,أرباش
Erbatur,أرباطور
Erbay,اربای
Erbaz,ارباز
Erbek,اربك
Erberk,اربرك
Erbeyin,اربیین
Erbil,اربیل
Erbuğ,اربوغ
Ercan,ارجان
Erçelebi,ارچلبی
Erçelik,ارچلیك
Erçetin,ارچتین
Erçin,ارچین
Ercoşkun,ارجوشقون
Erdal,اردال
Erdel,اردل
Erdemgil,اردمگیل
Erdemir,اردمیر
Erdener,أردنر
Erden,أردن
Erdinç,اردینچ
Erdir,اردیر
Erdoğan,ارطوغان
Erdoğdu,ارطوغدی
Erdoğmuş,ارطوغمش
Erdoğru,أرطوغری
Erdöl,أردول
Erduman,أردومان
Erek,أره ك
Erek,أرك
Erel,أرل
Erem,أرم
Erener,ارنر
Erengil,ارنگیل
Erenkaya,ارنقایا
Erenli,ارنلی
Erer,ارر
Erez,ارز
Ergenekon,ارگنه قون
Ergeneli,ارگنه لی
Ergene,ارگنه
Ergener,ارگنر
Ergen,ارگن
Ergezen,ارگزن
Ergin,ارگین
Ergüder,ارگودر
Ergül,ارگل
Ergun,ارغون
Ergün,ارگون
Erhan,ارخان
Erik,اریك
Erimçağ,اریمچوغ
Erim,اریم
Erişirgil,اریشرگیل
Erişken,اریشكن
Eriş,اریش
Erkanlı,اركانلی
Erkan,اركان
Erkazancı,ارقازانجی
Erker,اركر
Erkin,اركین
Erkır,ارقیر
Erkman,اركمان
Erkmen,اركمن
Erkoç,ارقوچ
Erkovan,ارقوان
Erkul,ارقول
Erkut,ارقوت
Erkuyumcu,ارقویومجی
Er,ار
Eroğan,اراوغان
Eroğlu,اراوغلی
Erol,ارول
Eronat,ارونات
Eron,ارون
Erozan,اروزان
Ersin,ارسین
Ersoy,ارصوی
Ersümer,ارسومر
Ertan,ارتان
Ertaş,ارطاش
Ertegün,ارته گون
Ertekin,ارتكین
Ertem,ارتم
Ertemür,ارتمور
Ertugay,ارتوغای
Ertuğ,ارتوغ
Ertuğrul,ارتوغرول
Ertunga,ارتونغه
Ertürk,ارتورك
Ertur,ارتور
Ertüzün,ارتوزون
Erverdi,اروردی
Eryavuz,اریاووز
Eryılmaz,ارییلماز
Eryurt,اریورد
Erzik,ارزیك
Erzin,ارزین
Erzurumlu,ارضروملی
Erzurumluoğlu,ارضروملی اوغلی
Esatoğlu,اسعد اوغلی
Esenbel,اسنبل
Esendal,اسندال
Esener,اسن ار
Esengin,اسنگین
Esengün,اسنگون
Esmer,اسمر
Etçioğlu,ایتجی اوغلی
Ete,ایته
Ethem,ادهم
Etili,اتیلی
Eti,أتی
Evcin,أوجین
Evci,أوجی
Evliyagil,أولیاگیل
Evliya,أولیا
Evliyaoğlu,اولیا اوغلی
Evren,أورن
Eyidoğan,ایی طوغان
Eymir,أیمیر
Eyüboğlu,ایوب اوغلی
Eyüpoğlu,ایوب اوغلی
Eyyüboğlu,ایوب اوغلی
Ezgü,أزگو
Ezman,ازمان
Fadıl,فاضل
Fahreddin,فخر الدین
Fahri,فخری
Fakaçelli,فاقاچللی
Faralyalı,فارالیالی
Farhi,فارخی
Fatsa,فاتسه
Fazlıoğlu,فضلی اوغلی
Fedai,فدائی
Fendoğlu,فنداوغلی
Fenik,فنیك
Fenmen,فنمن
Feralan,فرآلان
Fersoy,فرصوی
Feyzioğlu,فیضی اوغلی
Filiz,فیلیز
Fındıklı,فندقلی
Fırat,فرات
Fırkası,فرقه سی
Fişek,فشنك
Furtun,فورتون
Gacıroğlu,غاجیراوغلی
Galip,غالب
Gaydalı,غایدالی
Gazi,غازی
Gazioğlu,غازی اوغلی
Gebeş,گبش
Geboloğlu,گبول اوغلی
Geçer,گچر
Geçioğlu,گچی اوغلی
Gedikli,گدیكلی
Gedik,گدیك
Gedikoğlu,گدیك اوغلی
Geldi,گلدی
Gelenbeğ,گلنبگ
Gemalmaz,گمالماز
Gemici,گمیجی
Gençağa,گنچ آغا
Genca,گنجه
Gence,گنجه
Gencer,گنجر
Gençler,گنچلر
Genç,گنچ
Gençoğlu,گنچ اوغلی
Gençtürk,گنچتورك
Genlik,گنلك
Gerçeker,گرچكر
Gerede,گرده
Gerger,گرگر
Germen,گرمن
Germiyanoğlu,گرمیان اوغلی
Geveci,گوه جی
Gevecioğlu,گوه جی اوغلی
Geylani,گیلانی
Gigin,گیگین
Giritlioğlu,گیریتلی اوغلی
Gizligider,گیزلی گیدر
Giz,گیز
Göbekli,گوبكلی
Gögen,گوگن
Göğüsger,گوگسگر
Göğüş,گوگوش
Gökakın,گوك آقین
Gökbel,گوكبل
Gökbudak,گوك بوداق
Gökbulut,گوكبولوط
Gökçek,گوكچك
Gökçelik,گوكچلیك
Gökçel,گوكچل
Gökçen,گوكچن
Gökçe,گوكچه
Gökçer,گوكچر
Gökdalay,گوكدالای
Gökdemir,گوكدمیر
Göker,گوكر
Gökkan,گوكقان
Göklevent,گوكلوند
Göklü,گوكلو
Gökmen,گوكمن
Gökmenoğlu,گوكمن اوغلی
Göknar,گوكنار
Göknil,گوكنیل
Gök,گوك
Göksel,گوكسل
Göksidan,گوكسیدان
Göksoy,گوكصوی
Göksu,گوكصو
Göktaş,گوكطاش
Göktepe,گوكتپه
Göktuğ,گوكتوغ
Göktürk,گوكتورك
Göle,گوله
Gölet,گولت
Gölhan,گولخان
Göllü,گوللو
Goloğlu,غول اوغلی
Göncüoğlu,گونجو اوغلی
Gönenç,گوننچ
Gönen,گونن
Gönensay,گوننصای
Gören,گورن
Görentaş,گورن طاش
Görkey,گوركی
Görmez,گورمز
Gör,گور
Görür,گورر
Gövsa,گووسا
Gövsa,گووصا
Gözcü,گوزجی
Gözlükaya,گوزلو قایا
Gözlük,گوزلوك
Gözübüyük,گوزی بیوك
Gözügeçgel,گوزی گچگل
Grantay,غرانتای
Güçbilmez,گوچ بیلمز
Gücer,گوجر
Güçer,گوچر
Güçlü,گوچلو
Güçüm,گوچوم
Gülay,گلای
Gülcan,گلجان
Gülcegün,گلجه گون
Gülce,گلجه
Gülcügil,گلجوگیل
Gülcüoğlu,گلجو اوغلی
Gulden,گلدن
Güldoğan,گلطوغان
Güleç,گلچ
Gülek,گلك
Gülener,گلنر
Gülen,گلن
Güler,گلر
Güley,گلی
Gülez,گلز
Gülkan,گلقان
Gülle,گلله
Güllüce,گللوجه
Güllülü,گللولی
Güllü,گللو
Gul,غول
Gül,گل
Gülpınar,گلپیڭار
Gülsen,گلسن
Gülşen,گلشن
Gülsün,گلسن
Gültekin,گلتكین
Gültepe,گلتپه
Gülüt,گلوت
Gülyurt,گلیورد
Gümüşel,گوموش أل
Gümüşoğlu,گوموش اوغلی
Gümüşpala,گوموشپالا
Günal,گونال
Günaltay,گونالتای
Günaydın,گونایدین
Günay,گونای
Günbey,گونبگ
Günbulut,گونبولوط
Günday,گوندای
Gündeş,گوندش
Gündoğan,گونطوغان
Gündoğdu,گونطوغدی
Gündüzalp,گوندوزآلپ
Gündüz,گوندوز
Günebakan,گونه باقان
Günel,گونل
Güneri,گونری
Güner,گونر
Güneşdoğdu,گونش طوغدی
Güneştan,گونشتان
Güneştan,گونشطاڭ
Güngören,گونگورن
Güngör,گونگور
Gün,گون
Güntekin,گونتكین
Günver,گون ویر
Günver,گونور
Güpgüp,گوپگوپ
Gürak,گورآق
Güran,گوران
Güray,گورای
Gürbüz,گوربوز
Gürdal,گوردال
Gürdere,گوردره
Güreli,گوره لی
Gürel,گورأل
Güre,گوره
Gürerk,گورارك
Gürer,گورر
Güres,گورس
Güreş,گورش
Gürgen,گورگن
Güriş,گوریش
Gürkan,گورقان
Gürleyük,گورلیوك
Gürmen,گورمن
Gür,گور
Gürocak,گوراوجاق
Gürol,گورول
Gürpınar,گورپیڭار
Gürsan,گورسان
Gürşan,گورشان
Gürseler,گورسلر
Gürsel,گورسل
Gürses,گورسس
Gürsoy,گورصوی
Gürsu,گورصو
Gürtunca,گورطونجا
Gürün,گورون
Güvel,گوول
Güvenç,گوونچ
Güvendiren,گوندیرن
Güven,گوون
Güver,گوور
Güzelkılınç,گوزل قیلینچ
Haberal,خبرآل
Hablemitoğlu,خوابلمیت اوغلی
Hacaloğlu,حاجال اوغلی
Hacıbaloğlu,خاجیبال اوغلی
Hacıoğlu,حاجی اوغلی
Hacıpaşaoğlu,حاجیپاشا اوغلی
Hacırecepoğlu,حاجی رجب اوغلی
Hacopulos,حاجوپولوس
Hadımlıoğlu,خادم اوغلی
Halaçoğlu,حلاج اوغلی
Halaman,حالامان
Halefoğlu,خلف اوغلی
Halıcı,خالیجی
Halis,خالص
Hamal,حمال
Hamamcıoğlu,حمامجی اوغلی
Hamarat,خمرات
Hamdi,حمدی
Hamidi,حامدی
Hamşioğlu,خمشی اوغلی
Hamzaçebi,حمزه چلبی
Hamzaoğlu,حمزه اوغلی
Hamzaoğulları,حمزه اوغوللری
Hanağası,خان آغاسی
Hancıoğlu,خانجی اوغلی
Hanhan,خانخان
Harmancıoğlu,خرمانجی اوغلی
Harputlu,خرپوت
Harunoğlu,هرون اوغلی
Hasefe,خاص افه
Hasgür,خاص گور
Haşimi,هاشمی
Haşim,هاشم
Haşimoğlu,هاشم اوغلی
Hasırcı,حاصرجی
Hastaoğlu,خسته اوغلی
Hatiboğlu,خاطب اوغلی
Hatinoğlu,خاطیڭ اوغلی
Hatı,خاتی
Hatip,خطیب
Hatipoğlu,خطیب اوغلی
Hatko,خاتقو
Hattuza,خاتوزا
Havutça,خاوتچه
Hayırlıoğlu,خیراوغلی
Haykır,هایقیر
Hayrettin,خیر الدین
Hazer,حذر
Hazinedar,خزینه دار
Haznedar,خزنه دار
Helvacıoğlu,حلواجی اوغلی
Hemiş,همیش
Hendek,خندك
Heper,هپر
Herkmen,هركمن
Hiçerimez,هیچ اریمز
Hıdır,خدر
Hikmet,حكمت
Hilalci,هلالجی
Hilmi,حلمی
Himoğlu,هم اوغلی
Hırfanoğlu,خیرفان اوغلی
Hitit,هیتیت
Hızal,خزال
Hoca,خواجه
Hocaoğlu,خواجه اوغلی
Höcek,هوجك
Homriş,حومریش
Homriş,خومریش
Hortoğlu,خورت اوغلی
Hoşafcı,خوشابجی
Hoşver,خوش ویر
Hotar,خوطار
Hüdaioğlu,هدائی اوغلی
Hüdayioğlu,هدائی اوغلی
Hulusi,خلوصی
Hünal,هون آل
Hünal,خونال
Hun,خون
Hurşit,خورشید
Hüseyin,حسین
Hüsman,هوسمان
Hüsman,حوسمان
İbrahimhakkıoğlu,ابراهیم حقی اوغلی
İçli,ایچلی
İçöz,ایچ اوز
İçöz,ایچوز
İçten,ایچدن
İkiz,ایكیز
İksel,ایكسل
İlbay,ایلبای
İlçin,ایلچین
İlci,ایلجی
İlden,ایلدن
İleri,ایلری
Ilgaz,ایلغاز
İlgün,ایلگون
İlhan,ایلخان
Ilıcak,ایلیجاق
Ilıksoy,ایلیقصوی
Ilıman,ایلامان
İlimen,ایلیمن
İlker,ایلكر
İlkin,ایلكین
İlmen,ایلمن
İltekin,ایلتكین
İlter,ایلتر
İmamoğlu,امام اوغلی
İmer,ایمر
İmirzalıoğlu,ایمیرضالی اوغلی
İmirzalıoğlu,ایمیرزالی اوغلی
İmre,ایمره
İnal,اینال
İnanç,اینانچ
İnankur,اینانقور
İnan,اینان
İnanoğlu,انان اوغلی
İncealemdaroğlu,اینجه علمدار اوغلی
İnceayan,اینجه ایان
İncedayı,اینجه دایی
İncekara,اینجه قره
İnceler,اینجه لر
İnce,اینجه
İnceöz,اینجه اوز
İncesulu,اینجه صولی
İncesu,اینجه صو
İncetahtacı,اینجه تخته جی
İnceyan,اینجه یان
İnci,اینجی
İncioğlu,اینجی اوغلی
İnkaya,انقایه
İnönü,اینئوكی
İnsel,اینسل
İpekçi,ایپكجی
İpek,ایپك
İrbeç,ایربچ
İrdelp,ایردلپ
Irmak,ایرماق
İrtemçelik,ایرتم چلیك
İşbakan,ایشباقان
İşbaşaran,ایشباشاران
İşbay,ایشبای
İşbilen,ایشبیلن
İşcan,ایشجان
İşcen,ایشجن
İsen,ایسه ڭ
İşeri,ایشری
İsfendiyaroğlu,اسفندیار اوغلی
İşgüzar,ایشگوذار
Işıklar,ایشیقلر
İskenderoğlu,اسكندراوغلی
İslam,اسلام
İslamoğlu,اسلام اوغلی
İsler,ایسلر
İşler,ایشلر
İşleten,ایشلتن
İslimyeli,اسلیم یلی
Ispartalıgil,اسپارطه لی گیل
İspirli,اسپیرلی
Iştın,ایشطین
İyimaya,ایی مایه
İyriboz,ایری بوز
İzbudak,ایزبوداق
İzerdem,ایز اردم
İzgi,ایزگی
İzmen,ایزمن
İzol,ایزول
İzzet,عزت
Kaan,قاآن
Kaatçılar,قاآتچیلر
Kabadayı,قبا دایی
Kabakcı,قباقجی
Kabakçı,قباقجی
Kaba,قبا
Kabaoğlu,قبا اوغلی
Kabataş,قباطاش
Kabibay,قابیبای
Kabil,قابل
Kacar,قاجار
Kaçar,قاچار
Kacır,قاجیر
Kaçmaz,قاچماز
Kadıoğlu,قاضی اوغلی
Kadirbeyoğlu,قدیر بگ اوغلی
Kadızade,قاضیزاده
Kadoğlu,قد اوغلی
Kafkas,قافقاس
Kaflı,قفلی
Kaftan,قفتان
Kahraman,قهرمان
Kahveci,قهوه جی
Kahya,كهیا
Kahyaoğlu,كهیا اوغلی
Kakmacı,كاكمه جی
Kalabalık,قلابه لاق
Kalaç,قالاچ
Kalafat,قالافات
Kalav,قالاو
Kalaycı,قالایجی
Kalaycıoğlu,قالایجی اوغلی
Kaldırımcı,قالدیرمجی
Kaldırım,قالدیرم
Kaleli,قلعه لی
Kalemcioğlu,قلمجی اوغلی
Kalemli,قلملی
Kale,قلعه
Kalfagil,قالفه گیل
Kalgay,قالغای
Kalıpsızoğlu,قالیپسزاوغلی
Kalkancı,قالقانجی
Kalkandelen,قالقاندلن
Kalkan,قالقان
Kalkavan,قالقاوان
Kalsın,قالسین
Kaltakkıran,قالطاققیران
Kamalak,كامه لاق
Kamalak,قامه لاق
Kaman,قامان
Kamçıl,قامچیل
Kamhi,كامهی
Kamu,قامو
Kanber,قنبر
Kanbolat,قانبولاد
Kandemir,قاندمیر
Kaner,قانر
Kangal,قانغال
Kanko,قانغو
Kanpulat,قان پولاد
Kansu,قانصو
Kantarel,قنطار أل
Kapancı,قاپانجی
Kapani,قاپانی
Kapıcı,قاپوجی
Kapısız,قاپوسز
Kaplan,قاپلان
Kaptan,قاپتان
Kapusuz,قاپوسز
Karaağaç,قره آغاچ
Karaahmetoğlu,قره احمد اوغلی
Karaali,قره علی
Karaa,قره ه
Karaaslan,قره آسلان
Karaatlı,قره آتلی
Karabacak,قره باجاق
Karabaş,قره باش
Karabayır,قره بایر
Karabekir,قره بكر
Karabekmez,قره بكمز
Karabina,قره بنا
Karabudak,قره بوداق
Karabulut,قره بولوط
Karacabey,قره جه بگ
Karacagil,قره جه گیل
Karaçam,قره چام
Karacan,قره جان
Karaca,قره جه
Karacaşehir,قره جه شهر
Karaçorlu,قره چورلو
Karadag,قره داغ
Karadag,قره طاغ
Karadağ,قره داغ
Karadağ,قره طاغ
Karademir,قره دمیر
Karadeniz,قره دڭز
Karadere,قره دره
Karaduman,قره دومان
Karaerkek,قره أركك
Karaevli,قره أولی
Karafakıoğlu,قره فاقی اوغلی
Karagöz,قره گوز
Karagözoğlu,قره گوزاوغلی
Karagülle,قره گله
Karagül,قره گل
Karagür,قره گور
Karahalil,قره خلیل
Karahanlı,قره خانلی
Karahan,قره خان
Karaibrahim,قره ابراهیم
Karakapıcı,قره قاپوجی
Karakaş,قره قاش
Karakaşoğlu,قره قاش اوغلی
Karakaya,قره قایا
Karakeçili,قره كچیلی
Karakelle,قره كله
Karakimseliler,قره كیمسه لیلر
Karakoç,قره قوچ
Karakol,قره قول
Karaköylü,قره كویلی
Karakoyunlu,قره قویونلی
Karaküçük,قره كوچك
Karakurt,قره قورت
Karakuş,قره قوش
Karakuyu,قره قویو
Karal,قارال
Karaman,قره مان
Karamollaoğlu,قره ملا اوغلی
Karamüftüoğlu,قره مفتی اوغلی
Karamuğla,قره موغله
Karamürsel,قره مرسل
Karamutlu,قره موتلو
Karanakçı,قره ناقجی
Karanis,قره نیس
Karan,قره ڭ
Karan,قاران
