âbâ,آباء
mebde'-i vahdet," مَبْدَأِ وَحْدَتْ"
mebhas,"مَبْحَثْ "
mebnî,مَبْن۪ي
meb'ûs,"مَبْعُوثْ "
meb'ûs,"مَبْعُوثْ "
mebzûl,مَبْذُولْ
mebzûliyet,"مَبْذُولِيَتْ "
mebzûliyet-i mutlaka,مَبْذُولِيَتِ مُطْلَقَه
mecâl,"مَجَالْ "
mecâz,مَجَازْ
mecâzî,مَجَاز۪ي
meclis-i halvet,مَجْلِسِ خَلْوَتْ
meclis-i ihvân,مَجْلِسِ اِخْوَانْ
meclis-i münevver,"مَجْلِسِ مُنَوَّرْ "
mecmû',"مَجْمُوعْ "
mecmûa,"مَجْمُوعَه "
mecnun,مَجْنُونْ
mecrâ,"مَجْرَا "
mecûsî,مَجُوس۪ي
meczûb,"مَجْذُوبْ "
medâr,"مَدَارْ "
medâr,"مَدَارْ "
medâr-ı bereket,"مَدَارِ بَرَكَتْ "
medâr-ı bahis,"مَدَارِ بَحِثْ "
medâr-ı feyz,"مَدَارِ فَيْضْ "
medâr-ı fahr,مَدَارِ فَخْرْ
medâr-ı gam,مَدَارِ غَمْ
medâr-ı gam ve elem,مَدَارِ غَمْ وَاَلَمْ
medâr-ı hüsn-ü maîşet,"مَدَارِ حُسْنُ مَع۪يشَتْ "
medâr-ı hamd,"مَدَارِ حَمْدْ "
medâr-ı ibret,"مَدَارِ عِبْرَتْ "
medâr-ı iftihâr,"مَدَارِ اِفْتِخَارْ "
medâr-ı iltibâs,"مَدَارِ اِلْتِبَاسْ "
medâr-ı imtiyâz,"مَدَارِ اِمْتِيَازْ "
medâr-ı intibah,مَدَارِ اِنْتِبَاهْ
medâr-ı ithâm,"مَدَارِ اِتْهَامْ "
medâr-ı mes'ûliyet,"مَدَارِ مَسْئُولِيَتْ "
medâr-ı müheyyic,"مَدَارِ مُهَيِّجْ "
medâr-ı maîşet,مَدَارِ مَع۪يشَتْ
medâr-ı necât,مَدَارِ نَجَاتْ
medâr-ı nazar,"مَدَارِ نَظَرْ "
medâr-ı özür,مَدَارِ عُذُرْ
medâr-ı senevî,"مَدَارِ سَنَو۪ي "
medâr-ı sohbet,مَدَارِ صُحْبَتْ
medâr-ı sürûr,"مَدَارِ سُرُورْ "
medâr-ı şeâmet,مَدَارِ شَآمَتْ
medâr-ı şeref,"مَدَارِ شَرَفْ "
medâr-ı şükrân,"مَدَارِ شُكْرَانْ "
medâr-ı şükür,"مَدَارِ شُكُرْ "
medâr-ı teklîf,مَدَارِ تَكْلِيفْ
medâr-ı tenevvür,"مَدَارِ تَنَوُّرْ "
medâr-ı teselli,"مَدَارِ تَسَلّ۪ي "
medâr-ı teveccüh,"مَدَارِ تَوَجُّهْ "
medâr-ı taayyüş,مَدَارِ تَعَيُّشْ
medâr-ı zuhûr,مَدَارِ ظُهُورْ
meddâh,مَدَّاحْ
meded,"مَدَدْ "
medeniyet-i sefîhe,مَدَنِيَتِ سَفِيهَه
medh ü senâ,مَدْحُ و ثَنَا
medhiye,"مَدْحِيَه "
medih,مَدِحْ
medlûl,"مَدْلُولْ "
medlûl-ü mecâzî,"مَدْلُولُ مَجَاز۪ي "
medlûl-ü zihnî,مَدْلُولُ ذِهْنِي
medar-ı kemâl,مَدَارِ كَمَالْ
medar-ı kemal,مَدَارِ كَمَالْ
medyûn,"مَدْيُونْ "
medyûn-u şükrân,"مَدْيُونُ شُكْرَانْ "
mefâhir,مَفَاخِرْ
mefhûm,"مَفْهُومْ "
mefhûm-u işârî,"مَفْهُومُ اِشَار۪ي "
mefhûm-u muhĀlif,"مَفْهُومُ مُخَالِفْ "
mefhûm-u muvâfık,مَفْهُومُ مُوَافِقْ
mefhûm-u sarîh,"مَفْهُومُ صَر۪يحْ "
meftûn,"مَفْتُونْ "
meftûniyet,"مَفْتُونِيَتْ "
meftuniyet,"مَفْتُونِيَتْ "
mehdî,"مَهْد۪ي "
me'haz,"مَأْخَذْ "
mekteb,مَكْتَبْ
mekteb-i âlî,مَكْتَبِ عَالِي
mektub-u rabbânî,مَكْتُوبُ رَبَّان۪ي
melâike,مَلَائِكَه
melce',مَلْجَأْ
meleke,"مَلَكَه "
meleke-i ameliye,مَلَكَۀِ عَمَلِيَه
melek-i müekkel,مَلَكِ مُؤَكَّلْ
melek-i sıyânet,"مَلَكِ صِيَانَتْ "
melekiyet,"مَلَكِيَتْ "
melfûf,"مَلْفُوفْ "
melhûz,"مَلْحُوظْ "
memâlîk,مَمَال۪يكْ
memât,"مَمَاتْ "
memdûh,"مَمْدُوحْ "
memlûk,"مَمْلُوكْ "
memnû',"مَمْنُوعْ "
me'mûl,"مَأْمُولْ "
me'murin-i ilâhiye,مَأْمُورِينِ اِلٓهِيَه
men',"مَنْعْ "
mence',"مَنْجَأْ "
menfâ,"مَنْفَا "
menfez,مَنْفَذْ
menfî,"مَنْف۪ي "
menfî,"مَنْف۪ي "
menfi milliyet,مَنْفِي مِلِّيَتْ
menfûr,"مَنْفُورْ "
menfaatperest,"مَنْفَعَتْپَرَسْتْ "
menhûs,"مَنْحُوسْ "
mennân,"مَنَّانْ "
mensûb,مَنْسُوبْ
mensûbiyet,مَنْسوُبِيَتْ
mensûcât,"مَنْسوُجَاتْ "
mensûcât-ı amel,مَنْسُوجَاتِ عَمَلْ
menşe',مَنْشَأْ
menşe'-i hayât,مَنْشَۀِ حَيَاتْ
menşe'-i aslî,"مَنْشَأِ اَصْل۪ي "
me'nûs,"مَأْنُوسْ "
menzil,مَنْزِلْ
menzil-i kamer,مَنْزِلِ قَمَرْ
menzil-i saadet,مَنْزِلِ سَعَادَتْ
merâyâ,مَرَايَا
merci',مَرْجِعْ
merci',مَرْجِعْ
merciiyet,"مَرْجِعِيَتْ "
merdâne,"مَرْدَانَه "
merhûm,"مَرْحُومْ "
merhûm,"مَرْحُومْ "
merhameten,مَرْحَمَتاً
merkeziyet,مَرْكَزِيَتْ
mersiye,"مَرْثِيَه "
mertebe-i ismet,مَرْتَبَۀِ عِصْمَتْ
mertebe-i letâfet,مَرْتَبَۀِ لَطَافَتْ
mertebe-i velâyet,مَرْتَبَۀِ وَلَايَتْ
mesâil-i müteferrika,"مَسَائِلِ مُتَفَرِّقَه "
mescid-i kebîr,"مَسْجِدِ كَب۪يرْ "
mescid-i kebîr-i âlem,مَسْجِدِ كَبِيرِ عَالَمْ
mescid-i seyyâr,مَسْجِدِ سَيَّارَ
mesel,"مَثَلْ "
mes'ele-i imâmet,"مَسْئَلَۀِ اِمَامَتْ "
meserret,"مَسَرَّتْ "
mesh,مَسْخْ
mesîre,"مَس۪يَره "
mesken,مَسْكَنْ
meslek,"مَسْلَكْ "
meslek-i uhuvvet,"مَسْلَكِ اُخُوَّتْ "
mesrûr,"مَسْرُورْ "
mest,مَسْتْ
mestûr,"مَسْتُورْ "
mes'ûl,"مَسْئُولْ "
mes'ûliyet,"مَسْئُولِيَتْ "
mesail-i dakika,مَسَائِلِ دَقِيقَه
meşgale,"مَشْغَلَه "
meşher,مَشْهَرْ
meşher-i a'zam,"مَشْهَرِ اَعْظَمْ "
meşîhat,"مَش۪يخَتْ "
meşîhat-ı islâmiye,"مَش۪يخَتِ اِسْلَامِيَه "
meşkûk,"مَشْكُوكْ "
meşreb,"مَشْرَبْ "
meşreb,مَشْرَبْ
meşreben,"مَشْرَبًا "
meşreb-i aşk,مَشْرَبِ عَشْقْ
meşrû',"مَشْرُوعْ "
meşrût,مَشْرُوطْ
meşru',"مَشْرُوعْ "
meş'ûm,مَشْئُومْ
meşveret,"مَشْوَرَتْ "
meşakkat,"مَشَقَّتْ "
metânet,"مَتَانَتْ "
metbû',"مَتْبُوعْ "
metîn,"مَت۪ينْ "
meta',مَتَاعْ
mevcûd,مَوْجُودْ
mevcûdât,مَوْجُودَاتْ
mevcûdât-ı cismâniye,مَوْجُودَاتِ جِسْمَانِيَه
mevcûdât-ı hĀriciye,مَوْجُودَاتِ خَارِجِيَه
mevcûdât-ı ilmiye,"مَوْجُودَاتِ عِلْمِيَه "
mevcûdiyet,مَوْجُودِيَتْ
mevcûd-u hâricî,مَوْجُودُ خَارِج۪ي
mevcud,مَوْجُودْ
mevcudât-ı seyyare,مَوْجُودَاتِ سَيَّارَه
mevcudât-ı süfliye,مَوْجُودَاتِ سُفْلِيَه
mevcud-u hâricî,مَوْجُودِ خَارِجِي
mevhibe-i ilâhiye,مَوْهِبَۀِ اِلٰهِيَه
mevhûm,"مَوْهُومْ "
mevhûm,مَوْهُومْ
mevhûm,"مَوْهُومْ "
mevkıf,مَوْقِفْ
mevki',"مَوْقِعْ "
mevsûf,مَوْصُوفْ
mevsûk,"مَوْثُوقْ "
mevt,مَوْتْ
mevt-i dünya,مَوْتِ دُنْيَا
mevt-i zâhirî,"مَوْتِ ظَاهِر۪ي "
mevt-i zekât,مَوْتِ زَكَاتْ
mevzû',"مَوْضُوعْ "
mevzŪ',"مَوْضُوعْ "
mevzûât,مَوْضُوعَاتْ
mevzûn,"مَوْزُونْ "
meal-i icmalî,مَآلِ اِجْمَالِي
meydân-ı haşir,مَيْدَانِ حَشْرْ
meydân-ı müdâfaa,مَيْدَانِ مُدَافَعَه
meydân-ı zuhûr,"مَيْدَانِ ظُهُورْ "
meyl-i tekemmül,مَيْلِ تَكَمُّلْ
meymenet,مَيْمَنَتْ
me'yûs,"مَأْيُوسْ "
me'yûsiyet,"مَأْيُوسِيَتْ "
meyvedâr,مَيْوَه دَارْ
meyyâl,"مَيَّالْ "
meyyit,"مَيِّتْ "
meyyite,"مَيِّتَه "
mezâlim,"مَظَالِمْ "
mezbele,"مَزْبَلَه "
mezc,مَزْجْ
mezheb-i selef,مَذْهَبِ سَلَفْ
meziyet,"مَزِيَتْ "
meziyet,"مَزِيَتْ "
mezkûr,مَذْكُورْ
mezraa,"مَزْرَعَه "
mezraa-i âhiret,"مَزْرَعَه "
mezraa-i dünyâ,مَزْرَعَۀِ دُنْيَا
mezraa-i dünya,مَزْرَعَۀِ دُنْيَا
mezraa-i masnûât,مَزْرَعَۀِ مَصْنُوعَاتْ
mezraa-i semâviye,مَزْرَعَۀِ سَمَاوِيَه
me'zûn,مَاْذُونْ
mezûniyet,"مَأْذُونِيَتْ "
mıh,م۪يخْ
midevî,مِعْدَه و۪ي
miftâh,"مِفْتَاحْ "
mihenk,"مِهَنْكْ "
mihmândâr-ı kerîm,مِهْمَانْدَارِ كَرِيمْ
mihnet,"مِحْنَتْ "
mihver,"مِحْوَرْ "
mikyâs,"مِقْيَاسْ "
mikyâs-ı ma'rifet,"مِقْيَاسِ مَعْرِفَتْ "
milel,"مِلَلْ "
milliyetperver,"مِلِّيَتْپَرْوَرْ "
minber,مِنْبَرْ
minnet,"مِنَّتْ "
minvâl,مِنْوَالْ
mi'râc,مِعْرَا جْ
mi'râciye,مِعْرَاجِيَه
mi'râç,مِعْرَاجْ
mir'ât,"مِرْآتْ "
mir'ât-ı ma'rifet,مِرْاٰتِ مَعْرِفَتْ
mir'ât-ı rûh,مِرْآتِ رُوحْ
mir'ât-ı rahmet-i âlem,"مِرْاٰتِ رَحْمَتِ عَالَمْ "
mîrî,"م۪ير۪ي "
misâl,"مِثَالْ "
misâl,مِثَالْ
misâlî,"مِثَال۪ي "
misâl-i enseb,مِثَالِ اَنْسَبْ
misâl-i musağğar,"مِثَالِ مُصَغَّرْ "
misâl-i rahmet-i âlem,"مِثَالِ رَحْمَتِ عَالَمْ "
misbâh,مِصْبَاحْ
misil,"مِثِلْ "
miskin,مِسْك۪ينْ
miskîn,مِسْك۪ينْ
misliyet,"مِثْلِيَتْ "
mistĀr,"مِسْطَرْ "
mizâç,مِزَاجْ
mîzân,م۪يزَانْ
mîzân-ı kazâ,م۪يزَانِ قَضَا
mîzân-ı mahsûs,"م۪يزَانِ مَخْصُوصْ "
mîzân-ı a'zam-ı adâlet,"م۪يزَانِ اَعْظَمِ عَدَالَتْ "
mûcib,"مُوجِبْ "
mûcib-i cezâ,"مُوجِبِ جَزَا "
mûcib-i istikrâh,"مُوجِبِ اِسْتِكْرَاهْ "
mûcib-i muâheze,"مُوجِبِ مُؤَاخَذَه "
mûcid,مُوجِدْ
mûcid-i hakiki,مُوجِدِ حَقِيقِي
mûcid-i küll-i mevcûd,مُوجِدِ كُلِّ مَوْجُودْ
mûnis,"مُونِسْ "
mübâdele,مُبَادَلَه
mübâhât,مُبَاهَاتْ
mübâhase,"مُبَاحَثَه "
mübâlağa,مُبَالَغَه
mübârek,مُبَارَكْ
mübâreze,"مُبَارَزَه "
mübâreze,"مُبَارَزَه "
mübâşeret,"مُبَاشَرَتْ "
mübâşeret-i cüz'iye,مُبَاشَرَتِ جُزْئِيَه
mübâşir,مُبَاشِرْ
mübâyenet,مُبَايَنَتْ
mübelliğ,"مُبَلِّغْ "
müberrâ,"مُبَرَّا "
mübeyyiz,"مُبَيِّضْ "
mübezzir,مُبَذِّرْ
mübhem,"مُبْهَمْ "
mübayenet,مُبَايَنَتْ
mübayenet-i mahiyet,مُبَايَنَتِ مَاهِيَتْ
mücâhid,"مُجَاهِدْ "
mücâzât,"مُجَازَاتْ "
mücedded,مُجَدَّدْ
müceddid,"مُجَدِّدْ "
mücehhez,مُجَهَّزْ
mücellâ,مُجَلَّا
mücellede,"مُجَلَّدَه "
mücerreb,"مُجَرَّبْ "
mücerred,"مُجَرَّدْ "
mücessem,"مُجَسَّمْ "
mücmel,"مُجْمَلْ "
mücmelen,"مُجْمَلاً "
mücrim,"مُجْرِمْ "
müctehid,مُجْتَهِدْ
müdâfi',"مُدَافِعْ "
müdâfaa,مُدَافَعَه
müdâfaanâme,"مُدَافَعَه نَامَه "
müdâhale,مُدَاخَلَه
müddehar,"مُدَّخَرْ "
müddeî,"مُدَّع۪ي "
müdebbir,"مُدَبِّرْ "
müdebbir-i hakîm,مُدَبِّرِ حَك۪يمْ
müdellel,مُدَلَّلْ
müderris,"مُدَرِّسْ "
müdakkik,مُدَقِّقْ
müeccel,"مُؤَجَّلْ "
müekkel,"مُؤَكَّلْ "
müellefât,"مُؤَلَّفَاتْ "
müellif,"مُؤَلِّفْ "
müennes,"مُؤَنَّثْ "
müesses,"مُؤَسَّسْ "
müessir,مُؤَثِّرْ
müessir,"مُؤَثِّرْ "
müessir-i hakîki,مُؤَثِّرِ حَقِيقِي
müessis,مُؤَسِّسْ
müeyyid,"مُؤَيِّدْ "
müezzin-i a'zam,"مُؤَذِّنِ اَعْظَمْ "
müferrah,"مُفَرَّحْ "
müfessir,"مُفَسِّرْ "
müfessir,مُفَسِّرْ
müfettiş,مُفَتِّشْ
müflis,"مُفْلِسْ "
müfrit,"مُفْرِطْ "
müfsid,"مُفْسِدْ "
müftehir,"مُفْتَخِرْ "
müfterî,مُفْتَر۪ي
mühefhef,مُهَفْهَفْ
müheyyâ,"مُهَيَّا "
mühezzeb,مُهَذَّبْ
mühîb,"مُه۪يبْ "
mühmel,مُهْمَلْ
mühmel,مُهْمَلْ
mühtedî,"مُهْتَد۪ي "
mükâleme,مُكَالَمَه
mükebbir,"مُكَبِّرْ "
mükedder,مُكَدَّرْ
mükellef,"مُكَلَّفْ "
mükellefîn,مُكَلَّفِينْ
mükerrem,"مُكَرَّمْ "
mükerrer,مُكَرَّرْ
mükerreren,"مُكَرَّرًا "
mükrim,مُكْرِمْ
mülâhaza,مُلَاحَظَه
mülâkĀt,مُلَاقَاتْ
mülâkî,"مُلَاق۪ي "
mülâzım,مُلَازِمْ
mülevven,مُلَوَّنْ
mülevves,مُلَوَّثْ
mülhem,مُلْهَمْ
mülhid,مُلْحِدْ
mülk,"مُلْكْ "
mülkiye,مُلْكِيَه
mülk-ü ten,مُلْكُ تَنْ
mültebis,مُلْتَبِسْ
mülzem,"مُلْزَمْ "
mümânaât,"مُمَانَعَاتْ "
mümânaat,"مُمَانَعَتْ "
mümâsil,مُمَاسِلْ
mümessil,"مُمَثِّلْ "
mü'min,مُؤْمِنْ
mümtâz,مُمْتَازْ
mümteni',مُمْتَنِعْ
mümtezic,"مُمْتَزِجْ "
münâcât,مُنَاجَاتْ
münâfık,"مُنَافِقْ "
münâkaşa,مُنَاقَشَه
münâsebet,"مُنَاسَبَتْ "
münâvebe,"مُنَاوَبَه "
münâzara,"مُنَاظَرَه "
münâzaa,"مُنَازَعَه "
münbasit,"مُنْبَسِطْ "
müncemid,مُنْجَمِدْ
müncemid heves,مُنَْجَمِّدْ هَوَسْ
müncer,"مُنْجَرْ "
müncezib,مُنْجَذِبْ
mündemic,مُنْدَمِجْ
münderic,"مُنْدَرِجْ "
müneccim,مُنَجِّمْ
münekkid,"مُنَقِّدْ "
münevver,"مُنَوَّرْ "
münevvim,مُنَوِّمْ
münevvir,"مُنَوِّرْ "
münezzeh,"مُنَزَّهْ "
münferid,مُنْفَرِدْ
münfail,"مُنْفَعِلْ "
münhasır,مُنْحَصِرْ
münhasıran,"مُنْحَصِرًا "
münhasif,مُنْخَسِفْ
münkir,مُنْكِرْ
münkasım,مُنْقَسِمْ
müntehâ,مُنْتَهَا
müntehâ-yı te'lîf,مُنْتَهَايِ تَأْلِيفْ
müntehab,"مُنْتَخَبْ "
münteşir,مُنْتَشِرْ
mün'adim,مُنْعَدِمْ
münakkaş,مُنَقَّشْ
münzevî,"مُنْزَو۪ي "
mürâcaat,مُرَاجَعَتْ
mürebbî,مُرَبّ۪ي
müreccih,مُرَجِّحْ
müreccah,مُرَجَّحْ
mürefref,مُرَفْرَفْ
mürekkeb,"مُرَكَّبْ "
müretteb,مُرَتَّبْ
mürid,مُرِيدْ
mürîd,مُر۪يدْ
mürşid,مُرْشِدْ
mürşid-i ekber,"مُرْشِدِ اَكْبَرْ "
mürşid-i ekmel,"مُرْشِدِ اَكْمَلْ "
mürşid-i kâmil,"مُرْشِدِ كَامِلْ "
mürşid-i mutlak,مُرْشِدِ مُطْلَقْ
mürşid-i rabbanî,"مُرْشِدِ رَبَّان۪ي "
mürted,مُرْتَدْ
mürtezık,مُرتَزِقْ
mürûr,مُرُورْ
mürûr-u a'sâr,مُرُورُ اَعْصَارْ
mürûr-u zaman,"مُرُورِ زَمَانْ "
mürüvvet,مُرُوَّتْ
müsâbaka,مُسَابَقَه
müsâdeme,مُصَادَمَه
müsâdere,"مُصَادَرَه "
müsâvât,مُسَاوَاتْ
müsâvât-ı mutlaka,مُسَاوَاتِ مُطْلَقَه
müsâvî,"مُسَاو۪ي "
müsbet,"مُثْبَتْ "
müsbit,مُثْبِتْ
müsebbeb,"مُسَبَّبْ "
müsebbih,"مُسَبِّحْ "
müsekkin,مُسَكِّنْ
müsellem,"مُسَلَّمْ "
müsellah,مُسَلَّحْ
müselsel,مُسَلْسَلْ
müsemmâ,مُسَمَّا
müsemmâ-yı akdes,مُسَمَّايِ اَقْدَسْ
müsemmâ-yı zülcelâl,"مُسَمَّايِ ذُوالْجَلَالْ "
müsevvid,"مُسَوِّدْ "
müsin,"مُسِنْ "
müsinn,"مُسِنّ "
müskit,"مُسْكِتْ "
müslim,"مُسْلِمْ "
müsmir,مُثْمِرْ
müsrif,"مُسْرِفْ "
müsteâr,مُسْتَعَارْ
müstebid,مُسْتَبِدْ
müsteid,مُسْتَعِدْ
müstekreh,"مُسْتَكْرَهْ "
müstelzim,"مُسْتَلْزِمْ "
müstemid,مُسْتَمِدْ
müstemir,"مُسْتَمِرْ "
müstemleke,"مُسْتَمْلَكَه "
müstenid,"مُسْتَنِدْ "
müsteniden,"مُسْتَنِدًا "
müstensih,"مُسْتَنْسِخْ "
müstesnâ,"مُسْتَثْنَا "
müstevlî,مُسْتَوْل۪ي
müsta'cel,مُسْتَعْجَلْ
müstağnî,"مُسْتَغْن۪ي "
müstağrak,مُسْتَغْرَقْ
müstahrec,"مُسْتَخْرَجْ "
müstahsen,"مُسْتَحْسَنْ "
müstahsil,"مُسْتَحْصِلْ "
müstaid,"مُسْتَعِدْ "
müstakbel,مُسْتَقْبَلْ
müstakil,"مُسْتَقِلْ "
müstakîm,"مُسْتَق۪يمْ "
müsta'mel,مُسْتَعْمَلْ
müstantık,"مُسْتَنْطِقْ "
müsvedde,"مُسْوَدَّه "
müşâbehet,مُشَابَهَتْ
müşâbih,"مُشَابِهْ "
müşâhede,مُشَاهَدَه
müşâvere,"مُشَاوَرَه "
müşedded,"مُشَدَّدْ "
müşerref,مُشَرَّفْ
müşevveş,مُشَوَّشْ
müşevveşiyet,مُشَوَّشِيَتْ
müşevvik,"مُشَوِّقْ "
müşfik,"مُشْفِقْ "
müşîr,"مُش۪يرْ "
müşkil,مُشْكِلْ
müşrik,مُشْرِكْ
müştâk,مُشْتَاقْ
müşteki,مُشْتَكِي
müşterek,"مُشْتَرَكْ "
müşterî,مُشْتَر۪ي
müştak,مُشْتَقْ
müşahhas,مُشَخَّصْ
mütâlaa,"مُطَالَعَه "
mütâreke,"مُتَارَكَه "
müteâl,مُتَعَالْ
mütebâkî,"مُتَبَاق۪ي "
mütebeddil,"مُتَبَدِّلْ "
mütebessim,"مُتَبَسِّمْ "
mütebahhir,مُتَبَحِّرْ
mütecâviz,مُتَجَاوِزْ
müteceddid,"مُتَجَدِّدْ "
mütecessid,مُتَجَسِّدْ
mütecessid riyâ,مُتَجَسِّدْ رِيَا
mütecessis,مُتَجَسِّسْ
mütedâvil,"مُتَدَاوِلْ "
mütederric,مُتَدَرِّجْ
mütedeyyin,"مُتَدَيِّنْ "
müteellim,مُتَأَلِّمْ
müteessif,مُتَأَسِّفْ
müteessir,مُتَأَثِّرْ
müteessir,"مُتَأَثِّرْ "
mütefekkir,"مُتَفَكِّرْ "
mütefelsif,"مُتَفَلْسِفْ "
mütefennin,مُتَفَنِّنْ
müteferrik,"مُتَفَرِّقْ "
mütegallib,"مُتَغَلِّبْ "
mütegayyir,"مُتَغَيِّرْ "
mütehaccir,"مُتَحَجِّرْ "
mütehakkim,مُتَحَكِّمْ
müteharrik,مُتَحَرِّكْ
mütehassıl,"مُتَحَصِّلْ "
mütehassıs,"مُتَخَصِّصْ "
mütehavvil,"مُتَحَوِّلْ "
mütehayyir,"مُتَحَيِّرْ "
mütekebbir,"مُتَكَبِّرْ "
mütekellim,"مُتَكَلِّمْ "
mütekellim-i ezelî,مُتَكَلِّمِ اَزَل۪ي
mütekellim-i maalgayr,"مُتَكَلِّمِ مَعَ  الْغَيْرْ "
mütekellim-i vahde,مُتَكَلِّمِ وَحدَه
mütekellim-i alîm,مُتَكَلِّمِ عَل۪يمْ
mütekellimîn,مُتَكَلِّم۪ينْ
mütekerrir,مُتَكَرِّرْ
mütelezziz,مُتَلَذِّذْ
mütemâdî,"مُتَمَاد۪ي "
mütemâdiyen,"مُتَمَادِيًا "
mütemerrid,"مُتَمَرِّدْ "
mütemessil,مُتَمَثِّلْ
mütenâkız,مُتَنَاقِضْ
mütenebbih,مُتَنَبِّهْ
mütenevvi',مُتَنَوِّعْ
müterâkim,"مُتَرَاكِمْ "
mütereddid,"مُتَرَدِّدْ "
mütesellî,"مُتَسَلّ۪ي "
müteselsil,مُتَسَلْسِلْ
müteselsilen,"مُتَسَلْسِلاً "
mütesallib,مُتَصَلِّبْ
müteşekkil,"مُتَشَكِّلْ "
müteşekkir,"مُتَشَكِّرْ "
müteşahhıs,مُتَشَخِّصْ
mütevâlî,"مُتَوَال۪ي "
müteveccih,مُتَوَجِّهْ
müteveccihen,مُتَوَجِّهًا
müteveffâ,"مُتَوَفَّا "
mütevellid,"مُتَوَلِّدْ "
mütevaggil,مُتَوَغِّلْ
mütevakkıf,"مُتَوَقِّفْ "
müteaddid,مُتَعَدِّدْ
müteaffin,مُتَعَفِّنْ
müteallik,مُتَعَلِّقْ
müteyakkız,"مُتَيَقِّظْ "
müttefekun aleyh,"مُتَّفَقٌ عَلَيْهْ "
müttefikan,"مُتَّفِقًا "
müttehem,"مُتَّهَمْ "
müttehid,مُتَّحِدْ
müvellide,مُوَلِّدَه
müvellidü'l-humûza,"مُوَلِّدُ الْحُمُوضَه "
müvellidü'l-humûza,"مُوَلِّدُ الْحُمُوضَه "
müvellidü'l-mâ,"مُوَلِّدُ الْمَا "
müvellidü'l-mâ,مُوَلِّدُ الْمَاء
müyesser,"مُيَسَّرْ "
müzâheret,مُظَاهَرَتْ
müzâkere,"مُذَاكَرَه "
müzehheb,مُذَهَّبْ
müzehher,مُزَهَّرْ
müzekker,"مُذَكَّرْ "
müzeyyen,مُزَيَّنْ
müzeyyin,مُزَيِّنْ
müzhir,"مُظْهِرْ "
müzmin,"مُزْمِنْ "
müzmahil,مُضْمَحِلْ
müzahraf,"مُزَخْرَفْ "
muâdil,"مُعَادِلْ "
muâhede,"مُعَاهَدهَ "
muâheze,"مُؤَاخَذَه "
muâmelât,مُعَامَلاَتْ
muâmele,مُعَامَلَه
muârefe,"مُعَارَفَه "
muârız,"مُعَارِضْ "
muâraza,مُعَارَضَه
muâsır,مُعَاصِرْ
muâşeret,"مُعَاشَرَتْ "
muâvenet,مُعَاوَنَتْ
muâvenet-i gaybiye,مُعَاوَنَتِ غَيْبِيَه
muâvin,"مُعَاوِنْ "
mu'cizekâr,مُعْجِزَه كَارْ
mu'ciznümâ,"مُعْجِزْنُمَا "
mu'cizü'l-beyân,"مُعْجِزُ الْبَيَانْ "
mudhike,مُضْحِكَه
mufassal,"مُفَصَّلْ "
mufassalen,مُفَصَّلاً
mugaddî,مُغَدّ۪ي
muğlak,"مُغْلَقْ "
muhâbere,"مُخَابَرَه "
muhâceret,"مُهَاجَرَتْ "
muhâcir,مُهَاجِرْ
muhâfaza,"مُحَافَظَه "
muhâkeme,"مُحَاكَمَه "
muhâl,مُحَالْ
muhâl ender muhâl,مُحَالْ اَنْدَرْ مُحَالْ
muhâlefet,مُخَالَفَتْ
muhâlif,"مُخَالِفْ "
muhârebe,مُحَارَبَه
muhâsara,"مُحَاصَرَه "
muhât,"مُحَاطْ "
muhâvere,مُحَاوَرَه
muhbir,مُخْبِرْ
muhbir-i sâdık,مُخْبِرِ صَادِقْ
muhib,مُحِبْ
muhik,مُحِقّ
muhît,مُح۪يطْ
muhît,مُح۪يطْ
muhkem,مُحْكَمْ
muhlis,"مُخْلِصْ "
muhrik,مُحْرِقْ
muhsin,"مُحْسِنْ "
muhsin,"مُحْسِنْ "
muhtâr,مُخْتَارْ
muhtelif,مُخْتَلِفْ
muhterem,مُحْتَرَمْ
muhterik,مُحْتَرِقْ
muhtevî,مُحْتَو۪ي
muhteviyât,"مُحْتَوِيَاتْ "
muhtasar,مُخْتَصَرْ
muhtasaran,"مُخْتَصَرًا "
muhabbet-i fıtriye,مُحَبَّتِ فِطْرِيَه
muhabbet-i mecâziye,"مُحَبَّتِ مَجَازِيَه "
muhabbet-i nefsânîye,"مُحَبَّتِ نَفْسَانِيَه "
muhabbet-i rahmân,"مُحَبَّتِ رَحْمٰنْ "
muhabbet-i zâtî,مُحَبَّتِ ذَاتِي
muhabbet-i zâtiye,مُحَبَّتِ ذَاتِيَه
muhakkik,"مُحَقِّقْ "
muhakkikîn,مُحَقِّق۪ينْ
muharrem,"مُحَرَّمْ "
muharrib,مُخَرِّبْ
muharrik,"مُحَرِّكْ "
muhat,مُحَاطْ
muhyî,"مُحْي۪ي "
muhyiddîn,"مُحْيِي الدّ۪ينْ "
muîn,مُع۪ينْ
muîn-i zâlim,مُع۪ينِ ظَالِمْ
mukĀyese,"مُقَايَسَه "
mukni',"مُقْنِعْ "
muktebes,"مُقْتَبَسْ "
muktedir,"مُقْتَدِرْ "
muktesid,"مُقْتَصِدْ "
muktezâ,"مُقْتَضَا "
muktezâ,"مُقْتَضَا "
muktezâ-yı fıtrî,مُقْتَضَايِ فِطْر۪ي
muktezâ-yı hâl,"مُقْتَضَايِ حَالْ "
muktezĀ-yı insaniyet,مُقْتَضَايِ اِنْسَانِيَتْ
