âbâ,آباء
cilve-i cemâl,"جِلْوَۀِ جَمَالْ "
cilve-i cemâl ve kemâl,جِلْوَۀِ جَمَالْ وَ كَمَالْ
cilve-i ehadiyet,"جِلْوَۀِ اَحَدِيَتْ "
cilve-i inâyet,"جِلْوَۀِ عِنَايَتْ "
cilve-i inâyet-i rabbâniye,"جِلْوَۀِ عِنَايَتِ رَبَّانِيَه "
cilve-i kudret-i rabbâniye,"جِلْوَۀِ قُدْرَتِ رَبَّانِيَه "
cilve-i rahmet,جِلْوَۀِ رَحْمَتْ
cilve-i vahdet,جِلْوَۀِ وَحْدَتْ
cilve-i a'zam,"جِلْوَۀِ اَعْظَمْ "
cinnet-i muvakkata,"جِنَّتِ مُوَقَّتَه "
cins-i cezâ,جنْسِ جَزَا
cirim,"جِرِمْ "
cismânî,جِسْمَان۪ي
cismen,جِسْمًا
cism-i zîhayât,جِسْمِ ذِي حَيَاتْ
cüdâ,"جُدَا "
cümle,"جُمْلَه "
cümûdiye,جُمُودِيَه
cür'et,جُرْئَتْ
cürüm,"جُرُمْ "
cüz,"جُزْ "
cüz',جُزْؤْ
cüz',جُزْؤْ
cüz'î,"جُزْؤ۪ي "
cüz'î,"جُزْؤ۪ي "
cüz'î hâtırât,جُزْئ۪ي خَاطِرَاتْ
cüz'-i ihtiyârî,"جُزْءِ اِخْتِيَار۪ي "
cüz'iyât,"جُزْئِيَاتْ "
cüz'iyet,"جُزْئِيَتْ "
cüz'î-yi müşahhas,جُزْئِي يِ مُشَخَّصْ
cumhûr,جُمْهُورْ
cumhûr-u avâm,جُمْهُورُ عَوَامْ
cadde-i kübrâ-yı kur'âniye,جَادَّۀِ كُبْرَايِ قُرْآنِيَه
çendan,"چَنْدَانْ "
çeşm-i dil,چَشْمِ دِلْ
çeşm-i akıl,چَشْمِ عَقِلْ
çevik çalak,"چَو۪يكْ چَالَاكْ "
çilehâne,"چِلَه خَانَه "
çin-i cebîn,چِينِ جَبِينْ
dâhil,"دَاخِلْ "
